codigo,fid,id,Direccion,Nombre,Estado,Nombre2,VERIFICADO,SINNOMBRE,FUNCIONAL,icon_url
"6","6",,Ambos,SAN BLAS,"2",AV. GENERAL H. MORINIGO,SI,FALSO,,./0.png
"7","7",,Ambos,JUAN SOMMER,"3",AV. GRAL. H. MORINIGO,SI,FALSO,,./0.png
"1","1","1",Ninguna ,,"0",,SI,VERDADERO,,./0.png
"2","2","2",Ninguna ,SAN JOSE,"1",AV. GUILLERMO NAUMANN,SI,FALSO,,./0.png
"3","3","3",Ninguna ,NO DISPONIBLE,"1",AV. GUILLERMO NAUMANN,SI,VERDADERO,,./0.png
"5","5",,Ambos,No disponible ,"3",,SI,VERDADERO,,./0.png
"15","15",,Ambos,SANTO DOMINGO,"3",AV. GRAL. H. MORINIGO,SI,,,./0.png
"16","16",,Ambos ,No disponible ,"3",,SI,VERDADERO,,./0.png
"19","19",,Ambos ,No disponible ,"3",,SI,VERDADERO,,./0.png
"25","25","1",Ambos ,No disponible ,"3",,SI,VERDADERO,,./0.png
"78","78",,Ambos,SIN NOMBRE,"3",AV GUILLERMO NAUMANN,SI,VERDADERO,,./0.png
"79","79",,Ambos ,SIN NOMBRE,"3",AV. GUILLERMO NAUMANN,SI,VERDADERO,,./0.png
"81","81",,Ambos ,SIN NOMBRE,"3",AV GUILLERMO NAUMANN,SI,VERDADERO,,./0.png
"96","96",,Ambos,No disponible ,"3",GUILLERMO NAUMANN,SI,VERDADERO,,./0.png
"103","103",,UNICA DIRECION AL LAGO,14 DE MAYO,"2",AV. S. OTTO SCHÄRER,SI,FALSO,,./0.png
"64","64",,Ambos ,DE LA VICTORIA,"3",AV. GUILLERMO NAUMANN,SI,FALSO,,./0.png
"68","68",,Ambos,PROF. NELIDA MARTINEZ,"2",AV. GUILLERMO NAUMANN,SI,FALSO,,./0.png
"73","73",,Ambos,No disponible ,"3",AV. GUILLERMO NAUMANN,SI,VERDADERO,,./0.png
"75","75",,Ambos ,SIN NOMBRE,"3",AV. GUILLERMO NAUMANN,SI,VERDADERO,,./0.png
"76","76",,Ambos ,SIN NOMBRE,"3",AV. GUILLERMO NAUMANN,SI,VERDADERO,,./0.png
"77","77",,Ambos,SIN NOMBRE,"3",GUILLERMO NAUMANN,SI,VERDADERO,,./0.png
"104","104",,Ambos ,COLONOS ALEMANES,"2",AV. S. OTTO SCHÄRER,SI,FALSO,,./0.png
"105","105",,Ambos,DR. EMIL  HASSLER,"2",AV. S. OTTO SCHÄRER,SI,FALSO,,./0.png
"106","106",,Ambos,ELSE PETZOLDT,"3",AV. S. OTTO SCHÄRER,SI,FALSO,,./0.png
"107","107",,Ambos ,ROBERTO PETZOLDT,"3",AV. S. OTTO SCHÄRER,SI,FALSO,,./0.png
"108","108",,Ambos,BICENTENARIO,"3",AV. S. OTTO SCHÄRER,SI,FALSO,,./0.png
"109","109",,Ambos,PAZ DEL CHACO,"3",AV. S. OTTO SCHÄRER,SI,FALSO,,./0.png
"137","137",,Ambos,DEFENSORES DEL CHACO,"0",AV. LUIS F. VACHE,SI,FALSO,,./0.png
"138","138",,DIRECCION UNICA AL LAGO,ELSE PETZOLDT,"0",AV. LUIS F. VACHE,SI,FALSO,,./0.png
"139","139",,Ambos,ELSE PETZOLDT,"2",AV. LUIS F. VACHE,SI,FALSO,,./0.png
"151","151",,DIRECCION UNICA A MCAL. LOPEZ,SATURIO RIOS,"3",AV. MCAL. LÓPEZ ,SI,FALSO,,./0.png
"123","123",,Ambos ,BERLIN,"2",AVDA. MCAL. LÓPEZ,SI,FALSO,,./0.png
"124","124",,Ambos ,AV. MCAL. LÓPEZ,"3",IND. NACIONAL,SI,FALSO,,./0.png
"125","125",,Ambos ,AV. LUIS F. VACHE,"2",AV. MCAL. LÓPEZ,SI,FALSO,,./0.png
"127","127",,Ambos,CARLOS G. CHRISTIAN HEISECKE H.,"0",AV. LUIS F. VACHE,SI,FALSO,,./0.png
"131","131",,Ambos,BLAS GARAY,"2",AV. LUIS F. VACHE,SI,FALSO,,./0.png
"132","132",,Ambos,AV. LUIS F. VACHE,"3",14 DE MAYO,SI,FALSO,,./0.png
"133","133",,Ambos,COLONOS ALEMANES,"3",AV. LUIS F. VACHE,SI,FALSO,,./0.png
"134","134",,Ambos,COLONOS ALEMANES,"3",AV. LUIS F. VACHE,SI,FALSO,,./0.png
"135","135",,Ambos,DR. EMIL  HASSLER,"2",AV. LUIS F. VACHE,SI,FALSO,,./0.png
"136","136",,Ambos,DEFENSORES DEL CHACO,"3",AV. LUIS F. VACHE,SI,FALSO,,./0.png
"152","152",,Ambos,JOSE DOLORES VERA,"3",AV. MCAL. LÓPEZ ,SI,FALSO,,./0.png
"153","153",,Ambos,LINO MILLOT,"3",AV. MCAL. LÓPEZ ,SI,FALSO,,./0.png
"154","154",,Ambos,AV. MCAL. LÓPEZ ,"3",AV. CIERVO CUA,SI,FALSO,,./0.png
"156","156",,Ambos,PERSIO GANSER,"3",AV. MCAL. LÓPEZ ,SI,FALSO,,./0.png
"63","63",,Ambos,20 DE SEPTIEMBRE,"3",AV. GUILLERMO NAUMANN,SI,FALSO,,./0.png
"72","72",,Ambos ,BRIGIDO SANABRIA,"3",AV. GUILLERMO NAUMANN,SI,FALSO,,./0.png
"74","74",,Ambos ,CALLE 3,"3",AV. GUILLERMO NAUMANN,SI,FALSO,,./0.png
"98","98",,Ambos,SIMON BILIVAR,"3",AV. GUILLERMO NAUMANN,SI,FALSO,,./0.png
"4","4",,Doble,SIN NOMBRE *,"3",AVDA. GRAL. H. MORINIGO,SI,VERDADERO,,./0.png
"8","8",,Ambos ,RECODO DEL CAMINO,"3",AV. GENERAL H. MORINIGO,SI,FALSO,,./0.png
"22","22",,Ambos,No disponible ,"3",,SI,VERDADERO,,./0.png
"9","9",,Ambos,SIN NOMBRE,"3",,SI,VERDADERO,,./0.png
"10","10",,Ambos,No disponible ,"3",,SI,VERDADERO,,./0.png
"11","11",,Ambos,No disponible ,"3",,SI,VERDADERO,,./0.png
"12","12",,Ambos,AV. GRAL H. MORINIGO,"3",AV. WENCESLAO LOPEZ,SI,VERDADERO,,./0.png
"13","13",,Ambos ,CAP. F. FERREIRA,"3",AV. GENERAL H. MORINIGO,SI,FALSO,,./0.png
"14","14",,Ambos ,No disponible ,"3",,SI,VERDADERO,,./0.png
"17","17",,Ambos ,TTE. MARCELINO ESPINOZA,"3",AV. GRAL. H. MORINIGO,SI,,,./0.png
"18","18",,Ambos ,No disponible ,"3",,SI,VERDADERO,,./0.png
"20","20",,Ambos,AV. MBOKAYA,"2",AV. GENERAL H. MORINIGO,SI,FALSO,,./0.png
"21","21",,Ambos ,No disponible ,"3",,SI,VERDADERO,,./0.png
"23","23",,Ambos ,AV. GRAL. H. MORINIGO,"1",AV. WENCESLAO LOPEZ,SI,FALSO,,./0.png
"24","24",,Ambos ,No disponible ,"3",,SI,VERDADERO,,./0.png
"26","26",,Ambos ,DR. CÁSTULO FRANCO,"3",AV. GENERAL H. MORINIGO,SI,FALSO,,./0.png
"27","27",,Ambos ,SILVIO PETIROSSI,"3",AV. GENERAL H. MORINIGO,SI,FALSO,,./0.png
"28","28",,Ambos,EZIO GUGIARI,"3",AV. GRAL H. MORINIGO,SI,,,./0.png
"29","29",,Ambos ,BRISAS DEL LAGO,"3",AV. GENERAL H. MORINIGO,SI,FALSO,,./0.png
"30","30",,ambas,VIRGEN DE CAACUPE,"3",AV. GENERAL H. MORINIGO,SI,FALSO,,./0.png
"31","31",,Ambos ,Calle del Rocío*,"3",,,,,./0.png
"32","32",,Ambos ,SGTO. BERNARDINO DOMINGUEZ,"3",AV. GENERAL H. MORINIGO,SI,FALSO,,./0.png
"33","33",,Ambos,No disponible ,"3",,SI,VERDADERO,,./0.png
"34","34",,Ambos,No disponible ,"3",,SI,VERDADERO,,./0.png
"35","35",,Ambos,VILLA DELFINA,"0",AV. GRAL. H. MORINIGO,SI,,,./0.png
"36","36",,Ambos,No disponible ,"3",,SI,VERDADERO,,./0.png
"37","37",,Ambos,No disponible ,"3",,SI,VERDADERO,,./0.png
"38","38",,Ambos ,No disponible ,"3",,SI,VERDADERO,,./0.png
"39","39",,Ambos ,No disponible ,"3",,SI,VERDADERO,,./0.png
"40","40",,Ambos,SOL DE VERANO,"3",AV. GRAL. H. MORINIGO,SI,,,./0.png
"41","41",,Ambos ,MAINUMBY,"3",AV. GENERAL H. MORINIGO,SI,FALSO,,./0.png
"42","42",,Ambos ,No disponible ,"3",,SI,VERDADERO,,./0.png
"43","43",,Ambos ,No disponible ,"3",,SI,VERDADERO,,./0.png
"44","44",,Ambos,No disponible ,"3",,SI,VERDADERO,,./0.png
"45","45",,Ambos ,No disponible ,"3",,SI,VERDADERO,,./0.png
"46","46",,Ambos ,No disponible ,"3",,SI,VERDADERO,,./0.png
"47","47",,ambas,No Disponible,"3",,SI,VERDADERO,,./0.png
"48","48",,Ambos ,No disponible ,"3",,,,,./0.png
"49","49",,Ambos ,No disponible ,"3",,SI,VERDADERO,,./0.png
"50","50",,Ambos ,PEDRO HERKEN,"2",AV. GENERAL H. MORINIGO,SI,FALSO,,./0.png
"51","51",,Ambos ,SIN NOMBRE*,"3",AV. GRAL H. MORINIGO,SI,VERDADERO,,./0.png
"52","52",,Ambos ,JUAN SOMMER,"3",AV. GRAL. H. MORINIGO ,SI,,,./0.png
"53","53",,Ambos ,No disponible ,"3",,SI,VERDADERO,,./0.png
"54","54",,Ambos ,No disponible ,"3",,SI,VERDADERO,,./0.png
"55","55",,Ambos ,JUAN DE SALAZAR,"2",AV. GENERAL H. MORINIGO,SI,FALSO,,./0.png
"56","56",,Ambos,SEBASTIAN GABOTO,"3",AV. S. OTTO SCHÄRER,SI,FALSO,,./0.png
"57","57",,Ambos,DIAZ DE SOLIS,"2",AV. S. OTTO SCHÄRER,SI,FALSO,,./0.png
"58","58",,Ambos,AV. MCAL. LÓPEZ ,"1",AV. OTTO SCHÄRER,SI,FALSO,,./0.png
"59","59",,Ambos ,KOROCHIRE,"3",AV. GUILLERMO NAUMANN,SI,FALSO,,./0.png
"60","60",,Ambos,No disponible ,"3",AV. GUILLERMO NAUMANN,SI,VERDADERO,,./0.png
"61","61",,Ambos,PADRE ELIZALDE,"3",AV. GUILLERMO NAUMANN,SI,FALSO,,./0.png
"62","62",,Ambos,NANAWA,"2",AV. GUILLERMO NAUMANN,SI,FALSO,,./0.png
"65","65",,Ambos,SEBASTIAN EL CANO,"3",AV. GUILLERMO NAUMANN,SI,FALSO,,./0.png
"66","66",,Ambos,MAGALLANES,"3",AV. GUILLERMO NAUMANN,SI,FALSO,,./0.png
"69","69",,Ambos ,No disponible ,"3",AV. GUILLERMO NAUMANN,SI,VERDADERO,,./0.png
